id_tabungan,counter_tabungan,tanggal_nabung,nama_goal,target_nominal,nominal_nabung,total_terkumpul,sisa_target,status,keterangan
tb_0723,8,2024-05-26,   tanpa nama  ,73480000.0,6921135,55096679,18383321,Belum Selesai,Cash
tb_0723,9,2024-06-18,,73480000.0,6665927,61762606,11717394,Belum Selesai,Cash
TAB-0723,10,2024-07-18,   tanpa nama  ,73480000.0,7545170 rupiah,69307776,4172224,Belum Selesai,Transfer
TAB-0723,11,31/07/2024,Tanpa Nama,73480000.0,4172224 rupiah,73480000,0,Selesai,Cash
TAB-0724,1,2022-02-25,   bayar ukt semester depan  ,3950000.0,898428,898428,3051572,Belum Selesai,Via ATM
TAB-0724,2,2022-03-19,Bayar UKT Semester Depan,3950000.0,869135,1767563,2182437,Belum Selesai,Via ATM
TAB-0724,3,2022-04-07,Bayar UKT Semester Depan,3950000.0,668571,2436134,1513866,Belum Selesai,nan
TAB-0725,1,2024-07-16,,89990000.0,9414494,9414494,80575506,Selsai,Transfer
TAB-0725,2,2024-07-30,   modal nikah/tunangan  ,89990000.0,8700135,18114629,71875371,Belum Selesai,Transfer
TAB-0725,3,20-Aug-24,MODAL NIKAH/TUNANGAN,89990000.0,9002420,27117049,62872951,SELESAI,nan
TAB - 0725,4,2024-09-09,Modal Nikah/Tunangan,89990000.0,7819681,34936730,55053270,selesai,Via ATM
TAB-0725,5,2024-10-06,Modal Nikah/Tunangan,89990000.0,11754669,46691399,43298601,Belum Selesai,nan
TAB - 0725,6,15-Oct-24,,89990000.0,7447385,54138784,35851216,Belum Selesai,nan
TAB-0725,7,2024-10-29,Modal Nikah/Tunangan,89990000.0,10195215,64333999,25656001,Belum Selesai,nan
TAB - 0725,8,2024-11-20,Modal Nikah/Tunangan,89990000.0,8847252,73181251,16808749,Belum Selesai,Cash
TAB-0725,9,2024-11-30,MODAL NIKAH/TUNANGAN,89990000.0,9333380,82514631,7475369,Belum Selesai,nan
TAB-0725,10,16/12/2024,Modal Nikah/Tunangan,89990000.0,7475369,89990000,0,Selesai,Transfer
tb_0726,1,2022-12-10,Modal Nikah/Tunangan,89990000.0,8010934,8010934,81979066,Belum Selesai,nan
TAB-0726,2,2023-01-02,Modal Nikah/Tunangan,89990000.0,9521854,17532788,72457212,Belum Selesai,Cash
TAB-0726,3,2023-01-09,   modal nikah/tunangan  ,89990000.0,9256143 rupiah,26788931,63201069,Belum Selesai,nan
TAB-0726,4,2023-01-24,Modal Nikah/Tunangan,89990000.0,8868506,35657437,54332563,Belum Selesai,Transfer
TAB-0726,5,2023-02-13,Modal Nikah/Tunangan,,8032831,43690268,46299732,Belum Selesai,nan
TAB-0726,6,2023-03-09,Modal Nikah/Tunangan,89990000.0,8654868,52345136,37644864,Belum Selesai,Cash
TAB-0726,7,17-Mar-23,Modal Nikah/Tunangan,89990000.0,9519839,61864975,28125025,Belum Selesai,Transfer
TAB - 0726,8,2023-04-08,MODAL NIKAH/TUNANGAN,89990000.0,7411474,69276449,20713551,Belum Selesai,Transfer
TAB - 0726,9,2023-04-29,Modal Nikah/Tunangan,89990000.0,10048k,79325059,10664941,Belum Selesai,Transfer
TAB-0726,10,2023-05-21,Modal Nikah/Tunangan,,8999289,88324348,1665652,Belum Selesai,nan
TAB-0726,11,19/06/2023,   modal nikah/tunangan  ,89990000.0,1665652,89990000,0,Selesai,Via ATM
TAB-0727,1,2024-09-10,Modal Nikah/Tunangan,97510000.0,9658662,9658662,87851338,Belum Selesai,Transfer
tb_0727,2,2024-09-24,Modal Nikah/Tunangan,97510000.0,11150291,20808953,76701047,Belum Selesai,Via ATM
TAB-0727,3,2024-10-10,Modal Nikah/Tunangan,97510000.0,9844222,30653175,66856825,Selsai,Via ATM
TAB-0727,4,2024-11-05,   modal nikah/tunangan  ,97510000.0,8952182,39605357,57904643,selesai,nan
TAB - 0727,5,2024-12-04,MODAL NIKAH/TUNANGAN,97510000.0,10163924,49769281,47740719,Belum Selesai,nan
TAB-0727,6,2024-12-18,Modal Nikah/Tunangan,97510000.0,10681695,60450976,37059024,Belum Selesai,Cash
TAB-0727,7,2025-01-08,Modal Nikah/Tunangan,97510000.0,11104112,71555088,25954912,Belum Selesai,Via ATM
TAB-0727,8,29/01/2025,Modal Nikah/Tunangan,97510000.0,9651736,81206824,16303176,Belum Selesai,Transfer
TAB-0727,9,2025-02-08,Modal Nikah/Tunangan,97510000.0,10123626,91330450,6179550,Belum Selesai,Via ATM
TAB-0727,10,2025-03-03,Modal Nikah/Tunangan,97510000.0,6179550,97510000,0,Selesai,Via ATM
TAB-0728,1,2021-05-26,Modal Nikah/Tunangan,12310000.0,220825,220825,12089175,Belum Selesai,nan
tb_0728,2,2021-06-17,MODAL NIKAH/TUNANGAN,12310000.0,181457,402282,11907718,Belum Selesai,nan
TAB-0728,3,2021-07-18,Modal Nikah/Tunangan,12310000.0,242264,644546,11665454,belum selesai,Transfer
TAB-0728,4,14-Aug-21,   modal nikah/tunangan  ,12310000.0,228977,873523,11436477,BELUM SELESAI,Via ATM
TAB - 0728,5,2021-08-24,Modal Nikah/Tunangan,12310000.0,191442,1064965,11245035,Belum Selesai,Transfer
tb_0728,6,04-Sep-21,   modal nikah/tunangan  ,,257565 rupiah,1322530,10987470,Belum Selesai,Cash
TAB-0729,1,2022-02-15,BELI KAMERA ANALOG/MIRRORLESS,3320000.0,2026002,2026002,1293998,Belum Selesai,Cash
TAB - 0729,2,2022-02-23,   beli kamera analog/mirrorless  ,3320000.0,1293998,3320000,0,Selesai,Transfer
TAB-0730,1,2025-10-31,Modal Nikah/Tunangan,97510000.0,9252329,9252329,88257671,SELESAI,Cash
TAB-0730,2,2025-11-15,Modal Nikah/Tunangan,97510000.0,10091130,19343459,78166541,Belum Selesai,Via ATM
TAB-0730,3,2025-12-16,Modal Nikah/Tunangan,97510000.0,9324408 rupiah,28667867,68842133,Belum Selesai,Via ATM
TAB-0730,4,2026-01-02,Modal Nikah/Tunangan,97510000.0,10956459,39624326,57885674,Belum Selesai,nan
TAB-0730,5,2026-01-29,Modal Nikah/Tunangan,97510000.0,8929319,48553645,48956355,Selsai,Transfer
TAB-0730,6,2026-02-12,Modal Nikah/Tunangan,97510000.0,9579221,58132866,39377134,Belum Selesai,Via ATM
TAB-0730,7,2026-03-07,   modal nikah/tunangan  ,97510000.0,9361056,67493922,30016078,Belum Selesai,nan
TAB-0730,8,2026-03-24,   modal nikah/tunangan  ,97510000.0,8482995,75976917,21533083,Belum Selesai,Transfer
TAB-0730,9,2026-04-01,   modal nikah/tunangan  ,97510000.0,9692337,85669254,11840746,Belum Selesai,nan
TAB-0730,10,2026-04-19,MODAL NIKAH/TUNANGAN,97510000.0,11295333,96964587,545413,Belum Selesai,Transfer
TAB-0730,11,2026-05-05,   modal nikah/tunangan  ,,545413,97510000,0,Selesai,nan
TAB-0731,1,2021-03-29,Modal Nikah/Tunangan,,6755024,6755024,66724976,Belum Selesai,nan
TAB-0731,2,2021-04-25,Modal Nikah/Tunangan,73480000.0,7480087,14235111,59244889,belum selesai,Via ATM
TAB-0731,3,2021-05-24,Modal Nikah/Tunangan,73480000.0,7998153,22233264,51246736,Belum Selesai,nan
tb_0731,4,Lupa nyatet,MODAL NIKAH/TUNANGAN,73480000.0,7927055,30160319,43319681,Belum Selesai,Via ATM
TAB-0731,5,2021-07-24,Modal Nikah/Tunangan,73480000.0,6082115,36242434,37237566,Belum Selesai,Cash
tb_0731,6,15/08/2021,   modal nikah/tunangan  ,73480000.0,7134812,43377246,30102754,Belum Selesai,Via ATM
tb_0731,7,2021-09-02,Modal Nikah/Tunangan,73480000.0,7485686,50862932,22617068,SELESAI,Via ATM
TAB-0732,1,18/09/2020,Beli Sepeda Lipat/Fixie,2710000.0,2710000,2710000,0,Selesai,Via ATM
tb_0733,1,2021-05-20,Liburan ke Bali/Jogja,2380000.0,80602,80602,2299398,Belum Selesai,Cash
TAB-0733,2,2021-05-30,LIBURAN KE BALI/JOGJA,2380000.0,Rp. 112.275,192877,2187123,Belum Selesai,Via ATM
TAB-0733,3,2021-06-22,LIBURAN KE BALI/JOGJA,2380000.0,96390,289267,2090733,Belum Selesai,Transfer
TAB-0733,4,2021-07-10,Liburan ke Bali/Jogja,2380000.0,108220,397487,1982513,Belum Selesai,Cash
TAB-0733,5,Kemarin,Liburan ke Bali/Jogja,2380000.0,96478,493965,1886035,Belum Selesai,Cash
TAB-0733,6,2021-09-05,Liburan ke Bali/Jogja,2380000.0,104318,598283,1781717,selesai,Transfer
TAB-0733,7,2021-10-04,   liburan ke bali/jogja  ,2380000.0,101826,700109,1679891,Belum Selesai,Transfer
TAB - 0734,1,2020-07-12,BAYAR UKT SEMESTER DEPAN,3890000.0,389821 rupiah,389821,3500179,selesai,Cash
TAB-0734,2,2020-07-24,Bayar UKT Semester Depan,3890000.0,456899,846720,3043280,Selsai,nan
TAB-0734,3,22-Aug-20,,3890000.0,345067,1191787,2698213,Belum Selesai,Cash
TAB-0734,4,Lupa nyatet,Bayar UKT Semester Depan,3890000.0,365020,1556807,2333193,Belum Selesai,Via ATM
TAB-0734,5,2020-09-28,Bayar UKT Semester Depan,3890000.0,337942 rupiah,1894749,1995251,Belum Selesai,nan
TAB-0734,6,Bulan lalu,Bayar UKT Semester Depan,,432187,2326936,1563064,Belum Selesai,Cash
TAB-0734,7,15-Nov-20,Bayar UKT Semester Depan,3890000.0,337278,2664214,1225786,Belum Selesai,nan
TAB-0734,8,2020-12-07,   bayar ukt semester depan  ,3890000.0,363907,3028121,861879,Belm Selesai,nan
TAB-0734,9,06/01/2021,BAYAR UKT SEMESTER DEPAN,3890000.0,310297,3338418,551582,Blm selese,Transfer
TAB - 0734,10,2021-01-27,Bayar UKT Semester Depan,3890000.0,399606,3738024,151976,Belum Selesai,Cash
TAB-0734,11,2021-02-20,Bayar UKT Semester Depan,3890000.0,151976,3890000,0,Selesai,Transfer
tb_0735,1,2022-03-24,Rakit PC Gaming,17300000.0,1597493,1597493,15702507,Belum Selesai,Transfer
TAB-0735,2,2022-04-22,Rakit PC Gaming,17300000.0,1400469,2997962,14302038,Belum Selesai,nan
TAB-0735,3,2022-05-08,RAKIT PC GAMING,17300000.0,Rp. 1.734.607,4732569,12567431,Belum Selesai,Cash
TAB-0735,4,2022-05-30,   rakit pc gaming  ,17300000.0,1618000,6350569,10949431,Belum Selesai,Transfer
TAB-0735,5,2022-06-06,   rakit pc gaming  ,,1571121,7921690,9378310,Selsai,nan
TAB-0735,6,2022-06-23,RAKIT PC GAMING,17300000.0,1610430,9532120,7767880,Belum Selesai,nan
TAB-0735,7,2022-07-12,Rakit PC Gaming,17300000.0,1700334,11232454,6067546,Belum Selesai,nan
TAB-0735,8,2022-08-08,   rakit pc gaming  ,17300000.0,1575355,12807809,4492191,Belum Selesai,Via ATM
TAB-0735,9,28-Aug-22,Rakit PC Gaming,17300000.0,1674029,14481838,2818162,Belum Selesai,Transfer
TAB-0735,10,2022-09-23,Rakit PC Gaming,17300000.0,1891793,16373631,926369,SELESAI,Transfer
TAB-0735,11,2022-10-08,Rakit PC Gaming,17300000.0,926369,17300000,0,BELUM SELESAI,Cash
TAB - 0736,1,2021-01-24,Beli iPad/Tablet Nugas,9770000.0,895750,895750,8874250,Belum Selesai,Cash
TAB-0736,2,2021-02-08,Beli iPad/Tablet Nugas,9770000.0,924804,1820554,7949446,Belum Selesai,Via ATM
TAB-0736,3,2021-03-08,   beli ipad/tablet nugas  ,9770000.0,735295,2555849,7214151,Belum Selesai,Transfer
TAB-0736,4,31-Mar-21,Beli iPad/Tablet Nugas,,918122,3473971,6296029,Blm selese,Transfer
tb_0736,5,28/04/2021,BELI IPAD/TABLET NUGAS,9770000.0,940943,4414914,5355086,Belum Selesai,Via ATM
tb_0736,6,2021-05-24,BELI IPAD/TABLET NUGAS,9770000.0,964506,5379420,4390580,Belum Selesai,Transfer
TAB-0736,7,2021-06-21,BELI IPAD/TABLET NUGAS,9770000.0,1044802,6424222,3345778,Belum Selesai,Transfer
TAB-0736,8,14/07/2021,Beli iPad/Tablet Nugas,9770000.0,1072496,7496718,2273282,Belum Selesai,Cash
TAB-0736,9,2021-08-04,Beli iPad/Tablet Nugas,9770000.0,1002404,8499122,1270878,Blm selese,Via ATM
TAB-0736,10,Bulan lalu,Beli iPad/Tablet Nugas,9770000.0,774469,9273591,496409,Belum Selesai,nan
TAB-0736,11,Kemarin,Beli iPad/Tablet Nugas,9770000.0,496409,9770000,0,Selesai,Transfer
TAB-0737,1,2021-03-10,Bayar Kosan Tahunan,13940000.0,1199972,1199972,12740028,Belum Selesai,nan
TAB-0737,2,2021-03-27,Bayar Kosan Tahunan,13940000.0,1465619,2665591,11274409,Belum Selesai,Cash
TAB-0737,3,2021-04-16,Bayar Kosan Tahunan,13940000.0,1179913,3845504,10094496,Belum Selesai,nan
TAB-0737,4,2021-05-14,Bayar Kosan Tahunan,13940000.0,1503825,5349329,8590671,Belum Selesai,Transfer
TAB-0737,5,2021-05-27,Bayar Kosan Tahunan,13940000.0,1353779,6703108,7236892,Belum Selesai,Transfer
TAB-0737,6,2021-06-16,   bayar kosan tahunan  ,13940000.0,1639k,8342600,5597400,Belum Selesai,Cash
TAB-0737,7,13-Jul-21,   bayar kosan tahunan  ,13940000.0,1357526,9700126,4239874,Belum Selesai,Cash
TAB-0737,8,2021-07-30,Bayar Kosan Tahunan,13940000.0,1392k,11092661,2847339,SELESAI,nan
tb_0737,9,2021-08-13,Bayar Kosan Tahunan,13940000.0,1248434,12341095,1598905,Selsai,Cash
TAB-0737,10,2021-09-12,BAYAR KOSAN TAHUNAN,13940000.0,1079802,13420897,519103,Belum Selesai,Via ATM
TAB-0737,11,2021-09-27,Bayar Kosan Tahunan,13940000.0,519103,13940000,0,Selesai,Via ATM
TAB-0738,1,2021-09-01,Monitor External,1330000.0,129675,129675,1200325,Belum Selesai,Cash
TAB-0738,2,11/09/2021,Monitor External,1330000.0,125260,254935,1075065,Belum Selesai,nan
TAB - 0738,3,2021-09-27,MONITOR EXTERNAL,1330000.0,141k,396768,933232,Belum Selesai,Transfer
TAB-0738,4,2021-10-21,Monitor External,1330000.0,129421,526189,803811,Belum Selesai,Cash
TAB-0738,5,2021-11-17,Monitor External,1330000.0,137940,664129,665871,BELUM SELESAI,Transfer
TAB-0738,6,15/12/2021,Monitor External,1330000.0,132187,796316,533684,Belum Selesai,nan
TAB-0738,7,2022-01-12,MONITOR EXTERNAL,1330000.0,138756,935072,394928,Belum Selesai,Cash
TAB-0738,8,2022-02-08,,1330000.0,138761,1073833,256167,Belum Selesai,nan
TAB-0738,9,2022-03-08,Monitor External,1330000.0,135966,1209799,120201,Belum Selesai,Cash
TAB-0738,10,2022-04-07,Monitor External,1330000.0,Rp. 118.936,1328735,1265,Belum Selesai,Transfer
TAB-0738,11,2022-04-22,Monitor External,1330000.0,1k,1330000,0,Selesai,nan
TAB-0739,1,23/01/2022,Beli Laptop Skripsi,6540000.0,Rp. 251.312,251312,6288688,selesai,nan
TAB-0739,2,2022-02-19,Beli Laptop Skripsi,6540000.0,306593 rupiah,557905,5982095,Belum Selesai,nan
TAB-0739,3,2022-03-18,BELI LAPTOP SKRIPSI,6540000.0,272877,830782,5709218,Belum Selesai,Transfer
TAB-0739,4,2022-04-02,Beli Laptop Skripsi,6540000.0,271112,1101894,5438106,Belum Selesai,Via ATM
TAB-0739,5,2022-04-24,   beli laptop skripsi  ,6540000.0,254615,1356509,5183491,belum selesai,Transfer
TAB-0740,1,2022-04-19,Liburan ke Bali/Jogja,5060000.0,110265,110265,4949735,Belum Selesai,Cash
TAB-0740,2,2022-05-10,Liburan ke Bali/Jogja,,129204,239469,4820531,Belum Selesai,Via ATM
TAB-0740,3,2022-05-19,Liburan ke Bali/Jogja,5060000.0,115990,355459,4704541,Belum Selesai,Cash
TAB-0740,4,2022-06-05,Liburan ke Bali/Jogja,5060000.0,121675,477134,4582866,Belum Selesai,Cash
tb_0740,5,2022-07-03,LIBURAN KE BALI/JOGJA,5060000.0,98488,575622,4484378,Belum Selesai,Transfer
TAB-0740,6,2022-08-03,Liburan ke Bali/Jogja,5060000.0,91518,667140,4392860,Belum Selesai,Cash
TAB-0740,7,2022-08-24,LIBURAN KE BALI/JOGJA,5060000.0,93512,760652,4299348,Belum Selesai,Transfer
TAB-0740,8,10-Sep-22,LIBURAN KE BALI/JOGJA,506000000.0,118722,879374,4180626,Belum Selesai,Cash
TAB-0740,9,Kemarin,Liburan ke Bali/Jogja,5060000.0,99797 rupiah,979171,4080829,Belum Selesai,Transfer
TAB-0740,10,24/10/2022,,5060000.0,100535,1079706,3980294,Belum Selesai,nan
TAB - 0740,11,11/11/2022,LIBURAN KE BALI/JOGJA,5060000.0,112384,1192090,3867910,Belum Selesai,Transfer
TAB-0740,12,2022-11-28,   liburan ke bali/jogja  ,5060000.0,112060,1304150,3755850,Belum Selesai,Via ATM
TAB-0740,13,05/12/2022,Liburan ke Bali/Jogja,,121556,1425706,3634294,Belum Selesai,Cash
TAB-0740,14,28/12/2022,Liburan ke Bali/Jogja,5060000.0,118483,1544189,3515811,Belum Selesai,Transfer
TAB-0740,15,2023-01-12,LIBURAN KE BALI/JOGJA,5060000.0,110110,1654299,3405701,Belum Selesai,Cash
TAB-0740,16,2023-02-04,Liburan ke Bali/Jogja,5060000.0,124734,1779033,3280967,Belum Selesai,Transfer
TAB-0740,17,2023-02-20,Liburan ke Bali/Jogja,5060000.0,102226,1881259,3178741,BELUM SELESAI,Via ATM
TAB-0740,18,2023-02-28,Liburan ke Bali/Jogja,506000000.0,123828,2005087,3054913,Belum Selesai,Via ATM
TAB-0740,19,2023-03-29,Liburan ke Bali/Jogja,5060000.0,114583,2119670,2940330,Belum Selesai,nan
TAB-0740,20,Lupa nyatet,Liburan ke Bali/Jogja,5060000.0,101282,2220952,2839048,Belum Selesai,Cash
TAB-0740,21,2023-05-21,Liburan ke Bali/Jogja,5060000.0,111902,2332854,2727146,Belum Selesai,Transfer
TAB - 0740,22,2023-06-05,Liburan ke Bali/Jogja,5060000.0,105755,2438609,2621391,Belum Selesai,nan
TAB - 0740,23,2023-06-28,LIBURAN KE BALI/JOGJA,5060000.0,Rp. 118.608,2557217,2502783,Belum Selesai,nan
TAB-0740,24,2023-07-08,Liburan ke Bali/Jogja,5060000.0,109739,2666956,2393044,Belum Selesai,Transfer
TAB-0740,25,2023-07-23,LIBURAN KE BALI/JOGJA,5060000.0,Rp. 124.158,2791114,2268886,Belum Selesai,Transfer
TAB-0740,26,2023-08-19,Liburan ke Bali/Jogja,5060000.0,109078,2900192,2159808,Belum Selesai,Cash
TAB-0740,27,08/09/2023,Liburan ke Bali/Jogja,5060000.0,106922,3007114,2052886,Belm Selesai,Transfer
TAB-0740,28,2023-09-27,,5060000.0,114813,3121927,1938073,Belum Selesai,Cash
TAB-0740,29,2023-10-19,LIBURAN KE BALI/JOGJA,5060000.0,91747,3213674,1846326,Belum Selesai,Cash
TAB-0740,30,2023-11-10,Liburan ke Bali/Jogja,5060000.0,116680,3330354,1729646,selesai,Cash
TAB-0740,31,11/12/2023,Liburan ke Bali/Jogja,5060000.0,112171,3442525,1617475,Belum Selesai,nan
TAB - 0740,32,2023-12-18,LIBURAN KE BALI/JOGJA,5060000.0,109516 rupiah,3552041,1507959,Belum Selesai,nan
tb_0740,33,2024-01-18,Liburan ke Bali/Jogja,5060000.0,89327,3641368,1418632,Belum Selesai,Via ATM
TAB-0740,34,2024-02-06,Liburan ke Bali/Jogja,5060000.0,111680,3753048,1306952,Belum Selesai,Via ATM
TAB-0740,35,2024-02-23,,5060000.0,108483 rupiah,3861531,1198469,Belum Selesai,nan
TAB-0740,36,Kemarin,Liburan ke Bali/Jogja,5060000.0,119962,3981493,1078507,Belum Selesai,Via ATM
TAB-0740,37,2024-03-31,Liburan ke Bali/Jogja,5060000.0,97639,4079132,980868,Belum Selesai,nan
TAB-0740,38,15/04/2024,Liburan ke Bali/Jogja,5060000.0,108831,4187963,872037,Belum Selesai,Cash
TAB-0740,39,30/04/2024,Liburan ke Bali/Jogja,5060000.0,111k,4299651,760349,Belum Selesai,Transfer
TAB - 0740,40,2024-05-10,Liburan ke Bali/Jogja,5060000.0,92788,4392439,667561,Belum Selesai,Via ATM
TAB-0740,41,05/06/2024,   liburan ke bali/jogja  ,5060000.0,111123,4503562,556438,Belum Selesai,Cash
tb_0740,42,2024-06-17,Liburan ke Bali/Jogja,5060000.0,128818,4632380,427620,Belum Selesai,Via ATM
TAB-0740,43,2024-07-09,LIBURAN KE BALI/JOGJA,506000000.0,120833,4753213,306787,Belum Selesai,Transfer
TAB-0740,44,2024-07-19,Liburan ke Bali/Jogja,5060000.0,112902,4866115,193885,Belum Selesai,Cash
TAB-0740,45,2024-08-11,LIBURAN KE BALI/JOGJA,5060000.0,95824,4961939,98061,Belum Selesai,Transfer
TAB-0740,46,2024-08-28,Liburan ke Bali/Jogja,5060000.0,98061,5060000,0,Selesai,Transfer
TAB-0741,1,2024-06-02,   tanpa nama  ,85780000.0,8941988,8941988,76838012,Belum Selesai,Cash
TAB-0741,2,2024-06-20,Tanpa Nama,85780000.0,9365668,18307656,67472344,Blm selese,Via ATM
TAB-0741,3,2024-07-11,Tanpa Nama,85780000.0,7625510,25933166,59846834,Belum Selesai,nan
TAB - 0741,4,18/07/2024,Tanpa Nama,85780000.0,8431864,34365030,51414970,Belum Selesai,Transfer
TAB-0741,5,2024-08-11,Tanpa Nama,85780000.0,9912491,44277521,41502479,Belum Selesai,Cash
TAB - 0741,6,2024-08-23,Tanpa Nama,85780000.0,8550178,52827699,32952301,Belum Selesai,Transfer
tb_0741,7,2024-08-31,TANPA NAMA,85780000.0,9525112,62352811,23427189,Belum Selesai,Transfer
TAB-0741,8,10/09/2024,Tanpa Nama,,8012719,70365530,15414470,SELESAI,Transfer
TAB-0741,9,2024-09-27,Tanpa Nama,85780000.0,9498150,79863680,5916320,Belum Selesai,Cash
TAB-0741,10,2024-10-04,Tanpa Nama,85780000.0,5916320,85780000,0,Selesai,Cash
TAB-0742,1,02-Dec-24,   tanpa nama  ,87840000.0,9003889 rupiah,9003889,78836111,Belum Selesai,Via ATM
tb_0742,2,2024-12-25,TANPA NAMA,87840000.0,8594069,17597958,70242042,Selsai,Cash
TAB-0742,3,2025-01-04,TANPA NAMA,87840000.0,8663607,26261565,61578435,Belum Selesai,Via ATM
TAB-0742,4,2025-01-15,Tanpa Nama,87840000.0,8568750,34830315,53009685,SELESAI,Via ATM
TAB-0742,5,05/02/2025,Tanpa Nama,87840000.0,9386600,44216915,43623085,Belum Selesai,Via ATM
TAB-0742,6,2025-02-12,Tanpa Nama,87840000.0,7289412,51506327,36333673,Belum Selesai,Via ATM
TAB-0742,7,Kemarin,   tanpa nama  ,87840000.0,10277503,61783830,26056170,Belum Selesai,Via ATM
TAB - 0742,8,2025-04-11,TANPA NAMA,,9076677,70860507,16979493,SELESAI,Cash
TAB-0742,9,2025-05-02,Tanpa Nama,87840000.0,8930081,79790588,8049412,SELESAI,Via ATM
TAB-0742,10,2025-05-18,TANPA NAMA,87840000.0,8049412,87840000,0,Selesai,Transfer
TAB-0743,1,2020-08-04,Beli iPad/Tablet Nugas,9620000.0,143917,143917,9476083,Belum Selesai,nan
tb_0743,2,2020-08-18,Beli iPad/Tablet Nugas,9620000.0,143559,287476,9332524,Belum Selesai,nan
TAB-0743,3,2020-09-14,   beli ipad/tablet nugas  ,9620000.0,153453,440929,9179071,Belum Selesai,Cash
TAB-0743,4,2020-09-29,BELI IPAD/TABLET NUGAS,9620000.0,141162,582091,9037909,Belum Selesai,Transfer
TAB-0743,5,13/10/2020,Beli iPad/Tablet Nugas,,121138,703229,8916771,belum selesai,Via ATM
TAB-0744,1,2020-03-06,,,175530,175530,9644470,Belum Selesai,Cash
TAB-0744,2,2020-03-16,   beli motor bekas  ,9820000.0,156289,331819,9488181,Belum Selesai,nan
TAB - 0744,3,2020-04-10,Beli Motor Bekas,9820000.0,135649,467468,9352532,Belum Selesai,Via ATM
TAB-0744,4,2020-04-27,Beli Motor Bekas,,165725,633193,9186807,Belum Selesai,Transfer
TAB-0744,5,2020-05-12,   beli motor bekas  ,9820000.0,175506,808699,9011301,Selsai,Via ATM
tb_0744,6,2020-05-31,Beli Motor Bekas,9820000.0,168840,977539,8842461,BELUM SELESAI,Transfer
TAB-0744,7,20-Jun-20,Beli Motor Bekas,9820000.0,179288,1156827,8663173,Belum Selesai,nan
TAB-0744,8,08-Jul-20,Beli Motor Bekas,9820000.0,170972,1327799,8492201,Belum Selesai,nan
TAB-0744,9,2020-08-05,,9820000.0,159511,1487310,8332690,Selsai,nan
TAB-0744,10,2020-08-27,Beli Motor Bekas,9820000.0,179948 rupiah,1667258,8152742,Belum Selesai,Cash
TAB-0744,11,2020-09-07,Beli Motor Bekas,9820000.0,149746,1817004,8002996,Belum Selesai,Cash
tb_0744,12,05/10/2020,Beli Motor Bekas,9820000.0,162951,1979955,7840045,Belum Selesai,nan
TAB-0744,13,27/10/2020,Beli Motor Bekas,9820000.0,145679,2125634,7694366,Belum Selesai,Via ATM
TAB-0744,14,2020-11-19,   beli motor bekas  ,9820000.0,144390,2270024,7549976,Belum Selesai,Via ATM
TAB-0744,15,2020-12-16,,9820000.0,154706,2424730,7395270,Belum Selesai,nan
tb_0744,16,2020-12-25,   beli motor bekas  ,9820000.0,167000,2591730,7228270,Belum Selesai,Via ATM
TAB-0744,17,2021-01-04,Beli Motor Bekas,9820000.0,190680,2782410,7037590,Belum Selesai,Via ATM
TAB-0744,18,2021-01-17,Beli Motor Bekas,9820000.0,172982,2955392,6864608,Belum Selesai,Transfer
TAB-0744,19,Lupa nyatet,Beli Motor Bekas,9820000.0,178810,3134202,6685798,Belum Selesai,Via ATM
TAB-0744,20,21/02/2021,Beli Motor Bekas,9820000.0,163121,3297323,6522677,Belum Selesai,Cash
TAB-0744,21,2021-03-23,BELI MOTOR BEKAS,,176218,3473541,6346459,Belum Selesai,Cash
TAB-0744,22,2021-04-12,,9820000.0,158128,3631669,6188331,Belum Selesai,Transfer
TAB-0744,23,2021-05-02,Beli Motor Bekas,9820000.0,169629,3801298,6018702,Belum Selesai,nan
TAB-0744,24,13-May-21,Beli Motor Bekas,9820000.0,165741,3967039,5852961,Selsai,nan
TAB-0744,25,2021-05-20,Beli Motor Bekas,9820000.0,176577,4143616,5676384,Belum Selesai,Via ATM
TAB-0744,26,2021-06-07,Beli Motor Bekas,9820000.0,132138,4275754,5544246,selesai,nan
TAB-0744,27,2021-07-07,   beli motor bekas  ,9820000.0,157654,4433408,5386592,Belum Selesai,Cash
TAB-0744,28,2021-08-01,Beli Motor Bekas,9820000.0,179093,4612501,5207499,BELUM SELESAI,Transfer
TAB-0744,29,2021-08-09,BELI MOTOR BEKAS,9820000.0,136354,4748855,5071145,Belum Selesai,nan
TAB-0744,30,2021-08-20,Beli Motor Bekas,,178230,4927085,4892915,Belum Selesai,Via ATM
TAB - 0744,31,2021-09-20,BELI MOTOR BEKAS,9820000.0,148232,5075317,4744683,Belum Selesai,Transfer
TAB-0744,32,2021-10-07,Beli Motor Bekas,9820000.0,154872,5230189,4589811,Belum Selesai,Transfer
TAB-0744,33,23/10/2021,Beli Motor Bekas,9820000.0,153611,5383800,4436200,Belum Selesai,nan
TAB - 0744,34,2021-11-15,BELI MOTOR BEKAS,9820000.0,144881,5528681,4291319,Blm selese,Via ATM
TAB-0744,35,25-Nov-21,Beli Motor Bekas,9820000.0,157952,5686633,4133367,Belum Selesai,Transfer
tb_0744,36,2021-12-14,Beli Motor Bekas,9820000.0,174907,5861540,3958460,Selsai,Transfer
TAB-0744,37,2022-01-12,,9820000.0,157012,6018552,3801448,Belum Selesai,nan
