tanggal_nabung,nama_goal,target_nominal,nominal_nabung,total_terkumpul,sisa_target
3/16/2021,Rakit PC Gaming,24690000,1100000,16560000,8130000
6/8/2021,Modal Nikah/Tunangan,85960000,-100000,4050000,81910000
11/17/2021,Dana Darurat,19490000,10000,16200000,3290000
8/3/2021,Langganan Gym,1180000,20000,490000,690000
3/1/2022,Naik Gunung (Semeru/Rinjani),1210000,10000,400000,810000
3/17/2022,Bayar UKT Semester Depan,7500000,70000,6170000,1330000
8/5/2024,Modal Nikah/Tunangan,65260000,,57470000,7790000
11/4/2020,Dana Darurat,3350000,90000,1430000,1920000
3/16/2022,Modal Nikah/Tunangan,85960000,99999999,25900000,60060000
5/21/2022,Modal Nikah/Tunangan,85780000,20000,28660000,57120000
5/13/2020,Beli Laptop Skripsi,6410000,,3910000,2500000
3/10/2022,,4020000,300000,3420000,600000
1/15/2022,Modal Usaha Thrift/F&B,8610000,100000,250000,8360000
1/18/2024,Modal Nikah/Tunangan,65260000,1800000,26400000,38860000
7/10/2022,Modal Usaha Thrift/F&B,11710000,160000,7470000,4240000
2/22/2021,Beli iPad/Tablet Nugas,9770000,100000,6960000,2810000
9/16/2020,Beli Laptop Skripsi,6940000,150000,6940000,0
12/16/2024,Modal Nikah/Tunangan,85960000,110000,83570000,2390000
4/6/2021,Rakit PC Gaming,24690000,,17460000,7230000
5/29/2024,Modal Nikah/Tunangan,85960000,20000,49730000,36230000
8/17/2020,Beli Kamera Analog/Mirrorless,4190000,20000,2060000,2130000
3/11/2024,Modal Nikah/Tunangan,73480000,60000,71510000,1970000
2/12/2021,Kursus Bootcamp IT/Data Science,7350000,50000,190000,7160000
3/18/2021,Tiket Konser K-Pop/Lokal,4590000,1400000,1820000,2770000
7/8/2022,Modal Nikah/Tunangan,97510000,,6040000,91470000
6/29/2020,Servis Turun Mesin,810000,430000,810000,0
1/25/2020,Beli Motor Bekas,8210000,70000,820000,7390000
3/29/2021,Modal Nikah/Tunangan,15510000,220000,930000,14580000
7/27/2024,Modal Nikah/Tunangan,97510000,-100000,55450000,42060000
8/24/2021,Beli Motor Bekas,14520000,,11990000,2530000
7/6/2022,Modal Nikah/Tunangan,87840000,,21890000,65950000
10/8/2020,Beli Sepeda Lipat/Fixie,2710000,10000,1730000,980000
10/11/2021,Bayar UKT Semester Depan,7500000,30000,1330000,6170000
3/10/2024,Modal Nikah/Tunangan,45570000,250000,31570000,14000000
9/28/2020,,4550000,170000,1140000,3410000
5/8/2022,Kursus Bootcamp IT/Data Science,7030000,50000,5190000,1840000
12/4/2022,Modal Nikah/Tunangan,24510000,10000,19550000,4960000
11/10/2022,,45570000,90000,23420000,22150000
5/17/2020,Beli Laptop Skripsi,14420000,20000,1750000,12670000
3/19/2021,Bayar UKT Semester Depan,7760000,-100000,2470000,5290000
9/7/2021,Modal Nikah/Tunangan,15510000,50000,10080000,5430000
12/2/2021,Sewa Server/VPS Tahunan,1380000,50000,50000,1330000
2/13/2022,Outfit Wisuda/Kondangan,750000,20000,420000,330000
3/20/2022,Beli Hewan Qurban,2860000,160000,520000,2340000
5/23/2022,DP Motor Baru,7430000,100000,4010000,3420000
8/15/2021,,14380000,-100000,7570000,6810000
5/20/2022,Beli iPad/Tablet Nugas,7810000,50000,5740000,2070000
12/24/2020,Monitor External,3990000,60000,3060000,930000
2/7/2022,Beli Emas Antam,3180000,,90000,3090000
9/1/2020,Bayar Kosan Tahunan,13940000,-100000,1320000,12620000
5/20/2024,,85780000,1000000,50040000,35740000
12/4/2024,Modal Nikah/Tunangan,89990000,1100000,48410000,41580000
6/29/2022,,93000000,50000,14180000,78820000
2/5/2022,Liburan ke Bali/Jogja,2530000,100000,100000,2430000
5/25/2021,Beli Emas Antam,5950000,210000,5860000,90000
12/17/2024,Modal Nikah/Tunangan,85960000,20000,61140000,24820000
1/29/2022,Modal Nikah/Tunangan,24510000,50000,1470000,23040000
10/6/2024,Modal Nikah/Tunangan,85780000,100000,59610000,26170000
2/4/2022,Modal Nikah/Tunangan,65260000,100000,100000,65160000
3/16/2022,Staycation Bareng Temen,1140000,380000,1140000,0
7/10/2021,Beli Helm Fullface/Cargloss,910000,20000,910000,0
11/26/2020,,2570000,300000,1430000,1140000
5/26/2021,Bayar UKT Semester Depan,7760000,,7760000,0
8/5/2021,Beli iPad/Tablet Nugas,10990000,30000,7990000,3000000
10/19/2020,Rakit PC Gaming,24690000,260000,6810000,17880000
10/5/2022,Beli Laptop Skripsi,14870000,70000,12390000,2480000
8/24/2024,Modal Nikah/Tunangan,85960000,100000,76720000,9240000
6/3/2024,Modal Nikah/Tunangan,65260000,10000,54020000,11240000
7/14/2021,,5960000,,3730000,2230000
6/25/2021,Beli Hewan Qurban,4960000,100000,860000,4100000
10/24/2020,Beli Motor Bekas,6720000,60000,6670000,50000
10/13/2020,Beli iPad/Tablet Nugas,11250000,260000,3830000,7420000
3/20/2022,Liburan ke Bali/Jogja,2180000,40000,380000,1800000
4/6/2022,Modal Usaha Thrift/F&B,3480000,40000,3170000,310000
12/16/2020,Upgrade HP Baru,11180000,30000,2490000,8690000
9/22/2021,Modal Nikah/Tunangan,87840000,40000,2200000,85640000
1/7/2022,Beli Sepatu Sneakers/Running,1370000,80000,1160000,210000
7/14/2024,Modal Nikah/Tunangan,32780000,99999999,31510000,1270000
9/11/2021,,3710000,1200000,3030000,680000
7/25/2020,Sewa Server/VPS Tahunan,2160000,100000,820000,1340000
12/1/2021,Liburan ke Bali/Jogja,6910000,140000,4760000,2150000
11/4/2024,Modal Nikah/Tunangan,87840000,500000,67340000,20500000
7/11/2021,Modal Nikah/Tunangan,85960000,90000,6520000,79440000
2/28/2022,Modal Nikah/Tunangan,65260000,220000,1190000,64070000
7/3/2021,Beli iPad/Tablet Nugas,10990000,1800000,7460000,3530000
9/24/2021,Kursus Bootcamp IT/Data Science,5910000,160000,4180000,1730000
8/7/2020,Beli Magic Com & Dispenser,470000,40000,340000,130000
8/30/2020,Dana Darurat,15920000,110000,6780000,9140000
2/2/2022,Beli Helm Fullface/Cargloss,1140000,500000,500000,640000
11/27/2022,Modal Nikah/Tunangan,24510000,150000,19460000,5050000
1/14/2020,Beli Motor Bekas,12800000,150000,770000,12030000
8/12/2020,Modal Usaha Thrift/F&B,9220000,270000,9170000,50000
5/21/2022,Beli Motor Bekas,8770000,280000,4770000,4000000
2/5/2020,Servis Turun Mesin,830000,50000,50000,780000
2/13/2022,Beli Emas Antam,3970000,2000000,3370000,600000
6/7/2020,Upgrade HP Baru,8570000,30000,5760000,2810000
2/25/2024,,45570000,700000,31310000,14260000
2/14/2022,Sewa Server/VPS Tahunan,700000,,700000,0
9/4/2020,Beli Motor Bekas,6720000,800000,1340000,5380000
1/24/2022,Liburan ke Bali/Jogja,5540000,120000,550000,4990000
3/16/2021,Dana Darurat,14150000,20000,10540000,3610000
4/28/2022,Kursus Bootcamp IT/Data Science,7030000,90000,3240000,3790000
5/27/2020,Modal Usaha Thrift/F&B,9220000,20000,3680000,5540000
2/6/2021,Rakit PC Gaming,18050000,100000,10830000,7220000
6/5/2020,Beli Action Figure/Gunpla,2330000,30000,1850000,480000
3/26/2022,,1300000,50000,380000,920000
2/5/2021,Bayar Kosan Tahunan,7820000,50000,3080000,4740000
3/19/2020,DP Motor Baru,4500000,1600000,1890000,2610000
3/22/2021,Beli Laptop Skripsi,5770000,,3580000,2190000
3/4/2022,,5300000,130000,130000,5170000
3/16/2022,,16660000,20000,2390000,14270000
8/10/2020,Dana Darurat,6950000,40000,1740000,5210000
11/30/2021,Dana Darurat,13410000,60000,2710000,10700000
5/23/2022,Bayar Kosan Tahunan,16660000,70000,6250000,10410000
5/15/2022,Rakit PC Gaming,17300000,30000,8550000,8750000
3/4/2022,Kursus Bootcamp IT/Data Science,7030000,40000,1240000,5790000
4/4/2020,Beli Sepatu Sneakers/Running,510000,200000,290000,220000
8/31/2022,Rakit PC Gaming,17300000,390000,17300000,0
9/1/2022,Modal Nikah/Tunangan,85960000,160000,35550000,50410000
8/17/2020,DP Motor Baru,7500000,30000,3030000,4470000
4/15/2022,Liburan ke Bali/Jogja,6050000,30000,3090000,2960000
4/4/2020,Beli Kamera Analog/Mirrorless,7890000,600000,4460000,3430000
9/29/2020,Monitor External,3460000,10000,460000,3000000
8/26/2021,Modal Nikah/Tunangan,12310000,30000,8910000,3400000
12/24/2020,Monitor External,3990000,,3060000,930000
3/19/2022,Naik Gunung (Semeru/Rinjani),1280000,280000,860000,420000
3/24/2021,Bayar Kosan Tahunan,8200000,40000,8020000,180000
8/6/2020,,8200000,100000,5250000,2950000
8/8/2021,,19490000,30000,8720000,10770000
4/24/2022,Modal Nikah/Tunangan,32780000,,5040000,27740000
3/25/2022,Staycation Bareng Temen,1300000,,330000,970000
3/5/2022,Beli iPad/Tablet Nugas,10820000,180000,3670000,7150000
6/30/2020,Beli Motor Bekas,9560000,,8390000,1170000
11/6/2021,Modal Nikah/Tunangan,85780000,70000,18640000,67140000
4/12/2021,Tas Ransel Eiger/Consina,830000,60000,110000,720000
3/17/2022,Nabung Bayar Utang/Pinjol,3570000,100000,2770000,800000
8/22/2024,Modal Nikah/Tunangan,65260000,70000,57780000,7480000
6/21/2022,Beli Motor Bekas,8770000,20000,6710000,2060000
4/10/2022,Beli iPad/Tablet Nugas,9380000,300000,2200000,7180000
2/23/2024,Modal Nikah/Tunangan,89990000,70000,55810000,34180000
7/6/2021,,330000,20000,100000,230000
9/1/2020,Beli Sepatu Sneakers/Running,2030000,30000,1870000,160000
1/21/2022,Modal Nikah/Tunangan,45570000,260000,2520000,43050000
10/31/2021,Kado Ultah Pacar,1110000,250000,1110000,0
11/28/2020,,15560000,20000,9090000,6470000
2/16/2020,Beli Motor Bekas,8210000,70000,1410000,6800000
1/12/2024,Modal Nikah/Tunangan,65260000,80000,24590000,40670000
1/3/2022,Rakit PC Gaming,21710000,70000,13220000,8490000
3/8/2021,Rakit PC Gaming,21100000,50000,13160000,7940000
9/5/2021,Beli Motor Bekas,7120000,60000,2480000,4640000
10/1/2024,Modal Nikah/Tunangan,87840000,40000,46790000,41050000
1/21/2022,Nabung Bayar Utang/Pinjol,3570000,170000,490000,3080000
1/15/2021,Beli Emas Antam,4700000,80000,1680000,3020000
3/14/2022,Liburan ke Bali/Jogja,6050000,50000,2120000,3930000
3/24/2022,Liburan ke Bali/Jogja,2180000,40000,500000,1680000
7/17/2021,Rakit PC Gaming,21710000,100000,6400000,15310000
11/6/2025,Modal Nikah/Tunangan,97510000,60000,85300000,12210000
11/15/2020,Kado Ultah Pacar,1240000,,1240000,0
2/26/2022,Nabung Bayar Utang/Pinjol,1710000,40000,1500000,210000
6/9/2020,,610000,10000,40000,570000
9/16/2020,DP Motor Baru,7500000,210000,3990000,3510000
9/19/2020,Beli iPad/Tablet Nugas,5950000,10000,4290000,1660000
9/18/2021,Liburan ke Bali/Jogja,3740000,280000,590000,3150000
10/15/2021,Liburan ke Bali/Jogja,6910000,-100000,2140000,4770000
1/18/2023,Modal Nikah/Tunangan,87840000,100000,86370000,1470000
3/13/2022,DP Motor Baru,4930000,20000,3800000,1130000
3/16/2021,Rakit PC Gaming,21100000,30000,13260000,7840000
5/14/2020,,1460000,20000,340000,1120000
10/31/2020,Beli Motor Bekas,12660000,40000,1210000,11450000
5/13/2021,Beli Sepeda Lipat/Fixie,2280000,270000,1330000,950000
12/8/2020,,4930000,70000,4230000,700000
7/13/2020,,1380000,,330000,1050000
3/20/2022,Beli Magic Com & Dispenser,580000,210000,440000,140000
3/28/2024,Modal Nikah/Tunangan,93000000,700000,57090000,35910000
6/15/2020,Dana Darurat,11370000,170000,1650000,9720000
7/19/2020,Beli Hewan Qurban,4820000,60000,4820000,0
11/26/2020,Staycation Bareng Temen,1340000,30000,800000,540000
3/30/2022,Servis Turun Mesin,2570000,50000,480000,2090000
2/16/2022,Kursus Bootcamp IT/Data Science,7390000,30000,1160000,6230000
8/10/2025,Modal Nikah/Tunangan,93000000,100000,90070000,2930000
1/11/2024,,89990000,100000,23970000,66020000
9/1/2025,Modal Nikah/Tunangan,97510000,240000,79780000,17730000
12/24/2020,Modal Usaha Thrift/F&B,14340000,250000,11010000,3330000
7/25/2021,Bayar Kosan Tahunan,9010000,60000,2410000,6600000
4/25/2022,Beli Kamera Analog/Mirrorless,8540000,220000,8290000,250000
9/6/2021,Modal Nikah/Tunangan,85960000,150000,11080000,74880000
10/14/2024,,65260000,90000,39850000,25410000
1/19/2022,Beli Kamera Analog/Mirrorless,4740000,290000,560000,4180000
2/4/2022,DP Motor Baru,6140000,70000,70000,6070000
9/4/2024,Modal Nikah/Tunangan,89990000,160000,67470000,22520000
3/29/2021,Modal Nikah/Tunangan,73480000,70000,1400000,72080000
6/4/2021,Rakit PC Gaming,14610000,90000,1980000,12630000
4/9/2024,,85960000,20000,48170000,37790000
4/18/2024,Modal Nikah/Tunangan,87840000,60000,55550000,32290000
8/25/2022,Rakit PC Gaming,17300000,170000,16910000,390000
12/22/2020,Bayar Kosan Tahunan,11230000,1300000,8710000,2520000
12/13/2022,Modal Nikah/Tunangan,24510000,10000,20030000,4480000
7/19/2021,Bayar Kosan Tahunan,17290000,1500000,6720000,10570000
1/7/2020,Traktir Temen Sidang/Wisuda,520000,300000,300000,220000
2/17/2021,Rakit PC Gaming,21100000,,12490000,8610000
1/25/2022,Monitor External,1450000,80000,910000,540000
2/11/2022,Kado Hari Ibu/Ultah Ortu,1620000,,110000,1510000
7/27/2024,Modal Nikah/Tunangan,89990000,80000,66380000,23610000
12/2/2020,Beli Raket Badminton/Sepatu Futsal,1200000,110000,110000,1090000
4/29/2022,Beli Kamera Analog/Mirrorless,7430000,70000,7120000,310000
2/16/2021,Top Up Game (MLBB/Genshin/Valo),280000,,120000,160000
1/22/2022,Kursus Bootcamp IT/Data Science,7900000,40000,3350000,4550000
12/12/2020,Rakit PC Gaming,18050000,1300000,9400000,8650000
3/13/2022,Modal Nikah/Tunangan,93000000,200000,5000000,88000000
1/8/2024,Modal Nikah/Tunangan,45570000,10000,27940000,17630000
10/5/2024,Modal Nikah/Tunangan,87840000,20000,46810000,41030000
12/20/2024,,45570000,900000,44750000,820000
9/20/2020,Beli iPad/Tablet Nugas,11250000,260000,870000,10380000
3/2/2022,Kado Ultah Pacar,700000,40000,40000,660000
2/2/2022,Liburan ke Bali/Jogja,5540000,,740000,4800000
4/24/2022,Monitor External,2620000,,2620000,0
10/31/2021,Modal Nikah/Tunangan,15510000,10000,11020000,4490000
3/10/2022,Beli Kasur Busa/Springbed,1300000,70000,1300000,0
3/9/2021,Beli Game Steam/PS,520000,100000,390000,130000
5/12/2022,Modal Nikah/Tunangan,24510000,-100000,10620000,13890000
7/16/2020,Beli Game Steam/PS,1110000,240000,500000,610000
12/6/2020,Monitor External,3990000,100000,2740000,1250000
10/23/2020,Langganan Netflix/Spotify Tahunan,700000,510000,700000,0
5/3/2022,Upgrade HP Baru,3860000,1600000,3270000,590000
2/16/2022,Bayar UKT Semester Depan,2550000,,2240000,310000
1/4/2024,Modal Nikah/Tunangan,24510000,,21430000,3080000
1/8/2022,Monitor External,3170000,150000,160000,3010000
5/6/2020,Beli Motor Bekas,12800000,,8890000,3910000
8/13/2020,Beli Laptop Skripsi,6940000,50000,130000,6810000
4/11/2022,Modal Nikah/Tunangan,85780000,60000,26960000,58820000
1/10/2022,Modif Motor/Ganti Knalpot,560000,60000,150000,410000
9/29/2021,Kursus Bootcamp IT/Data Science,7250000,70000,4090000,3160000
10/25/2020,Liburan ke Bali/Jogja,4930000,100000,2850000,2080000
2/8/2023,Modal Nikah/Tunangan,87840000,100000,87430000,410000
1/9/2024,Modal Nikah/Tunangan,93000000,,26380000,66620000
1/29/2021,Beli TWS/Earphone,2050000,50000,620000,1430000
8/6/2021,,2100000,1480000,2100000,0
3/11/2022,Beli Kasur Busa/Springbed,1710000,,260000,1450000
10/29/2024,Modal Nikah/Tunangan,45570000,170000,42640000,2930000
4/17/2021,Bayar UKT Semester Depan,7760000,1400000,5340000,2420000
1/24/2023,,97510000,80000,90810000,6700000
3/23/2022,Beli Raket Badminton/Sepatu Futsal,320000,,280000,40000
12/18/2022,Modal Nikah/Tunangan,24510000,100000,20240000,4240000
3/12/2022,Staycation Bareng Temen,1140000,50000,760000,380000
4/8/2021,Bayar UKT Semester Depan,4150000,-100000,280000,3870000
1/21/2022,Upgrade HP Baru,12260000,240000,420000,11840000
3/25/2022,Rakit PC Gaming,21690000,50000,2400000,19290000
7/7/2020,,14420000,20000,5930000,8490000
10/12/2021,Upgrade RAM & SSD,1060000,50000,740000,320000
3/14/2021,Modif Motor/Ganti Knalpot,2940000,280000,1860000,1080000
3/29/2022,Beli Kamera Analog/Mirrorless,4340000,50000,1520000,2820000
8/24/2021,Monitor External,1330000,60000,930000,400000
4/3/2022,Beli iPad/Tablet Nugas,10200000,60000,2740000,7460000
9/20/2020,Beli TWS/Earphone,440000,240000,440000,0
11/17/2025,Modal Nikah/Tunangan,97510000,10000,85400000,12110000
5/22/2022,,7810000,2000000,7810000,0
9/10/2024,Modal Nikah/Tunangan,85960000,100000,55480000,30480000
1/10/2022,Beli Meja Belajar Lipat,160000,80000,160000,0
12/17/2020,Beli Motor Bekas,12660000,110000,5720000,6940000
4/18/2020,,6410000,70000,3400000,3010000
7/3/2024,Modal Nikah/Tunangan,45570000,10000,36430000,9140000
6/29/2021,Rakit PC Gaming,24690000,,23950000,740000
7/25/2021,Tiket DWP / Pestapora,1910000,120000,630000,1280000
1/21/2022,Beli Game Steam/PS,330000,120000,330000,0
2/2/2021,Beli Emas Antam,4700000,90000,4500000,200000
3/5/2021,Rakit PC Gaming,24690000,,15200000,9490000
2/12/2022,Tiket DWP / Pestapora,1370000,50000,270000,1100000
7/4/2020,Beli Motor Bekas,12800000,40000,12460000,340000
3/7/2022,Liburan ke Bali/Jogja,5060000,60000,140000,4920000
11/23/2021,Modal Nikah/Tunangan,15510000,20000,11750000,3760000
1/5/2021,Upgrade HP Baru,11180000,1700000,5480000,5700000
4/4/2021,Upgrade HP Baru,11180000,130000,8370000,2810000
9/25/2020,Rakit PC Gaming,21100000,120000,800000,20300000
8/2/2020,Bayar UKT Semester Depan,3890000,630000,3890000,0
7/22/2022,Modal Nikah/Tunangan,85960000,170000,33600000,52360000
11/5/2020,Liburan ke Bali/Jogja,6030000,90000,90000,5940000
10/24/2024,Modal Nikah/Tunangan,65260000,50000,60280000,4980000
5/11/2021,Rakit PC Gaming,21710000,30000,2010000,19700000
9/6/2020,Liburan ke Bali/Jogja,5580000,70000,150000,5430000
2/8/2022,Naik Gunung (Semeru/Rinjani),1280000,10000,110000,1170000
6/28/2020,Modal Nikah/Tunangan,15350000,90000,6360000,8990000
9/12/2022,Modal Nikah/Tunangan,89990000,10000,11840000,78150000
3/25/2022,Beli Laptop Skripsi,6540000,100000,4210000,2330000
9/15/2025,Modal Nikah/Tunangan,97510000,,81660000,15850000
5/8/2022,Upgrade HP Baru,3860000,,3300000,560000
5/28/2021,Rakit PC Gaming,14610000,,1850000,12760000
10/13/2020,Top Up Game (MLBB/Genshin/Valo),330000,70000,110000,220000
2/5/2021,Uang Kondangan Temen,230000,230000,230000,0
5/4/2022,Nabung Bayar Utang/Pinjol,4450000,1900000,4170000,280000
5/27/2022,Upgrade HP Baru,12260000,20000,7490000,4770000
5/3/2021,Modal Nikah/Tunangan,85960000,10000,2170000,83790000
4/5/2021,Modal Nikah/Tunangan,12310000,220000,220000,12090000
8/28/2020,DP Motor Baru,7500000,,3450000,4050000
2/7/2022,Kado Hari Ibu/Ultah Ortu,1620000,30000,30000,1590000
3/13/2024,Modal Nikah/Tunangan,87840000,250000,54940000,32900000
1/24/2021,Beli Hewan Qurban,4430000,50000,630000,3800000
7/7/2020,,450000,70000,70000,380000
8/13/2024,Modal Nikah/Tunangan,89990000,130000,38110000,51880000
2/1/2024,Modal Nikah/Tunangan,85780000,20000,70330000,15450000
1/4/2022,Ganti Ban Depan Belakang,1030000,120000,120000,910000
3/14/2022,Dana Darurat,4850000,190000,1690000,3160000
12/1/2020,Beli iPad/Tablet Nugas,9770000,40000,2650000,7120000
4/9/2021,Modal Nikah/Tunangan,12310000,70000,370000,11940000
3/17/2022,Langganan Gym,2370000,,630000,1740000
5/31/2024,Modal Nikah/Tunangan,93000000,30000,38930000,54070000
2/27/2022,Outfit Wisuda/Kondangan,750000,50000,750000,0
10/12/2021,,1060000,10000,1060000,0
8/12/2022,Rakit PC Gaming,21690000,140000,8500000,13190000
12/2/2024,Modal Nikah/Tunangan,97510000,280000,62960000,34550000
6/11/2021,Beli Laptop Skripsi,9610000,130000,6570000,3040000
12/16/2021,Beli iPad/Tablet Nugas,7720000,1700000,4720000,3000000
1/25/2022,Bayar Kosan Tahunan,17290000,60000,13350000,3940000
5/17/2022,Modal Nikah/Tunangan,65260000,90000,7180000,58080000
4/11/2022,Dana Darurat,7500000,20000,4080000,3420000
10/2/2021,,1830000,70000,1400000,430000
9/22/2021,Modal Nikah/Tunangan,73480000,700000,8220000,65260000
11/14/2020,Sewa Server/VPS Tahunan,1740000,20000,120000,1620000
1/23/2022,DP Motor Baru,4930000,180000,360000,4570000
3/12/2022,Beli Hewan Qurban,4020000,10000,3200000,820000
4/22/2024,Modal Nikah/Tunangan,89990000,250000,62450000,27540000
6/20/2021,Beli Laptop Skripsi,8240000,100000,7520000,720000
3/28/2022,Bayar UKT Semester Depan,5140000,130000,2030000,3110000
10/2/2021,Dana Darurat,14380000,30000,11380000,3000000
3/28/2024,Modal Nikah/Tunangan,85780000,20000,75480000,10300000
12/15/2024,Modal Nikah/Tunangan,85960000,50000,83460000,2500000
1/25/2022,Beli TWS/Earphone,1900000,70000,690000,1210000
8/20/2022,,12260000,280000,12250000,10000
4/8/2022,Beli Kamera Analog/Mirrorless,6590000,20000,2300000,4290000
1/2/2022,Tiket Konser K-Pop/Lokal,4060000,140000,140000,3920000
11/14/2021,Modal Nikah/Tunangan,85960000,40000,18030000,67930000
3/16/2021,Tiket Konser K-Pop/Lokal,4590000,70000,420000,4170000
6/12/2021,Beli Laptop Skripsi,9610000,30000,6600000,3010000
12/13/2020,Nabung Bayar Utang/Pinjol,1520000,10000,50000,1470000
2/2/2021,Modif Motor/Ganti Knalpot,2940000,220000,220000,2720000
2/6/2022,Naik Gunung (Semeru/Rinjani),1280000,,100000,1180000
11/3/2024,Modal Nikah/Tunangan,87840000,10000,66840000,21000000
6/3/2020,Traktir Temen Sidang/Wisuda,360000,260000,260000,100000
1/3/2024,Modal Nikah/Tunangan,45570000,,45190000,380000
1/17/2020,,2040000,10000,1900000,140000
8/30/2021,Bayar Kosan Tahunan,17290000,100000,9070000,8220000
5/25/2021,Kado Hari Ibu/Ultah Ortu,2490000,120000,2360000,130000
5/3/2022,Modif Motor/Ganti Knalpot,2350000,,2350000,0
1/9/2022,Staycation Bareng Temen,920000,40000,110000,810000
12/24/2020,Modif Motor/Ganti Knalpot,2570000,20000,2420000,150000
2/17/2021,Liburan ke Bali/Jogja,6400000,,780000,5620000
1/23/2020,Modal Skripsi & Jilid,1320000,70000,790000,530000
1/16/2022,Beli Sepatu Sneakers/Running,1370000,80000,380000,990000
3/15/2020,,5290000,,4130000,1160000
12/28/2024,Modal Nikah/Tunangan,73480000,40000,63370000,10110000
1/1/2022,Bayar Kosan Tahunan,17290000,100000,12100000,5190000
7/2/2020,Dekor Kamar Estetik,840000,60000,570000,270000
9/11/2021,,3150000,240000,2900000,250000
4/8/2021,Beli Emas Antam,2930000,10000,100000,2830000
11/5/2022,Modal Nikah/Tunangan,24510000,30000,18840000,5670000
7/29/2024,Modal Nikah/Tunangan,85960000,1400000,75360000,10600000
10/19/2020,Dana Darurat,15920000,1600000,11650000,4270000
3/10/2021,Modal Nikah/Tunangan,85960000,20000,130000,85830000
3/1/2021,Beli Emas Antam,5950000,40000,1910000,4040000
3/23/2022,Langganan Gym,2370000,100000,1260000,1110000
3/2/2022,Servis Turun Mesin,1470000,120000,1470000,0
5/16/2020,Liburan ke Bali/Jogja,4090000,100000,560000,3530000
3/27/2024,Modal Nikah/Tunangan,32780000,10000,26140000,6640000
1/5/2021,Beli Emas Antam,6100000,,5120000,980000
3/13/2020,Nabung Bayar Utang/Pinjol,720000,220000,650000,70000
7/8/2021,Beli iPad/Tablet Nugas,9500000,70000,4480000,5020000
4/26/2020,Beli Motor Bekas,9560000,30000,2950000,6610000
2/2/2021,Tiket DWP / Pestapora,1700000,,1700000,0
11/13/2021,Modal Nikah/Tunangan,85780000,140000,18780000,67000000
4/1/2022,Beli iPad/Tablet Nugas,5300000,50000,930000,4370000
5/24/2020,Beli Laptop Skripsi,14420000,,1850000,12570000
2/28/2022,Beli Sepeda Lipat/Fixie,3690000,40000,3540000,150000
7/21/2020,DP Motor Baru,7500000,90000,2470000,5030000
2/22/2021,Modif Motor/Ganti Knalpot,2940000,10000,1070000,1870000
10/29/2024,Modal Nikah/Tunangan,87840000,,66830000,21010000
11/23/2020,Bayar Kosan Tahunan,8200000,300000,3890000,4310000
3/21/2021,Beli Motor Bekas,12660000,800000,11550000,1110000
2/2/2022,Beli Kamera Analog/Mirrorless,7430000,80000,2480000,4950000
4/12/2021,Upgrade HP Baru,10890000,99999999,9330000,1560000
2/16/2021,Beli Laptop Skripsi,5770000,270000,670000,5100000
11/4/2020,Bayar Kosan Tahunan,11230000,290000,3410000,7820000
9/8/2020,Rakit PC Gaming,21100000,180000,290000,20810000
2/15/2021,Beli Hewan Qurban,4430000,1500000,2800000,1630000
6/3/2020,Modif Motor/Ganti Knalpot,2420000,,160000,2260000
7/5/2020,Beli Kasur Busa/Springbed,670000,90000,450000,220000
6/6/2021,DP Motor Baru,3440000,40000,240000,3200000
2/3/2020,Uang Kondangan Temen,250000,20000,20000,230000
6/1/2021,,320000,40000,320000,0
2/9/2022,Modal Nikah/Tunangan,87840000,99999999,10600000,77240000
8/27/2021,Rakit PC Gaming,21710000,100000,8140000,13570000
12/10/2021,Modal Nikah/Tunangan,85780000,50000,19240000,66540000
2/21/2022,Modal Usaha Thrift/F&B,13760000,1200000,12000000,1760000
11/26/2021,Beli Kamera Analog/Mirrorless,9770000,120000,9610000,160000
5/10/2020,Bayar Kosan Tahunan,13240000,180000,4200000,9040000
6/19/2021,Tiket DWP / Pestapora,2290000,10000,1170000,1120000
11/10/2020,Beli iPad/Tablet Nugas,4580000,,2620000,1960000
12/10/2020,Beli Raket Badminton/Sepatu Futsal,780000,90000,360000,420000
10/6/2020,Modal Skripsi & Jilid,2100000,40000,700000,1400000
4/22/2022,Beli Hewan Qurban,3790000,500000,2690000,1100000
2/25/2020,Sewa Server/VPS Tahunan,1120000,20000,1070000,50000
12/19/2020,,2570000,240000,2400000,170000
4/23/2021,Bayar UKT Semester Depan,7260000,20000,6500000,760000
3/15/2022,,6750000,100000,5800000,950000
3/13/2022,Monitor External,3340000,,1400000,1940000
1/14/2022,Servis Turun Mesin,2900000,210000,730000,2170000
1/3/2021,Rakit PC Gaming,21100000,70000,10070000,11030000
5/5/2021,Beli iPad/Tablet Nugas,10440000,500000,7820000,2620000
1/18/2022,Modal Skripsi & Jilid,1020000,90000,240000,780000
11/24/2021,DP Motor Baru,6820000,30000,6470000,350000
7/4/2021,Beli iPad/Tablet Nugas,9500000,,4370000,5130000
3/7/2021,Monitor External,3680000,,160000,3520000
2/5/2022,Perpanjang Pajak Kendaraan,780000,190000,780000,0
5/23/2021,Kado Hari Ibu/Ultah Ortu,2490000,1700000,2240000,250000
10/25/2024,,73480000,500000,60840000,12640000
3/8/2022,Staycation Bareng Temen,930000,10000,130000,800000
5/14/2022,Beli iPad/Tablet Nugas,7810000,190000,5690000,2120000
7/24/2020,Sewa Server/VPS Tahunan,2160000,,720000,1440000
